from,to,count,probability
outside_long_doors,elevator,4,0.004352557127312296
outside_long_doors,t_spawn,145,0.15778019586507072
outside_long_doors,car,16,0.017410228509249184
outside_long_doors,ct_spawn,59,0.06420021762785637
outside_long_doors,lower_tunnels,25,0.02720348204570185
outside_long_doors,upper_mid,49,0.05331882480957562
outside_long_doors,upper_tunnels,36,0.03917301414581066
outside_long_doors,bombsite_A,29,0.031556039173014146
outside_long_doors,elbow,3,0.003264417845484222
outside_long_doors,mid,23,0.025027203482045703
outside_long_doors,ramp,17,0.018498367791077257
long_A,t_spawn,485,0.19731489015459724
long_A,ct_spawn,872,0.354759967453214
long_A,doubledoors,143,0.05817737998372661
long_A,lower_tunnels,12,0.004882017900732303
long_A,ct_mid,88,0.03580146460537022
long_A,bombsite_A,121,0.04922701383238405
long_A,elevator,47,0.019121236777868186
long_A,upper_tunnels,11,0.004475183075671277
long_A,outside_tunnels,219,0.08909682668836452
long_A,outside_long_doors,14,0.005695687550854353
long_A,short_A,26,0.010577705451586655
long_A,car,185,0.07526444263628966
long_A,elbow,8,0.0032546786004882017
long_A,ramp,153,0.06224572823433686
long_A,bombsite_B,49,0.019934906427990236
long_A,upper_mid,8,0.0032546786004882017
long_A,catwalk,10,0.0040683482506102524
long_A,mid,7,0.0028478437754271765
upper_tunnels,bombsite_B,605,0.3533878504672897
upper_tunnels,ct_spawn,169,0.09871495327102804
upper_tunnels,lower_tunnels,192,0.11214953271028037
upper_tunnels,t_spawn,307,0.17932242990654207
upper_tunnels,short_A,106,0.06191588785046729
upper_tunnels,bombsite_A,26,0.015186915887850467
upper_tunnels,long_A,22,0.012850467289719626
upper_tunnels,outside_tunnels,154,0.08995327102803738
upper_tunnels,catwalk,32,0.018691588785046728
upper_tunnels,upper_mid,1,0.0005841121495327102
upper_tunnels,ct_mid,48,0.028037383177570093
upper_tunnels,outside_long_doors,9,0.005257009345794392
upper_tunnels,elevator,4,0.002336448598130841
upper_tunnels,doubledoors,14,0.008177570093457943
upper_tunnels,elbow,5,0.0029205607476635513
upper_tunnels,car,4,0.002336448598130841
upper_tunnels,ramp,7,0.0040887850467289715
upper_tunnels,suicide,2,0.0011682242990654205
upper_tunnels,mid,5,0.0029205607476635513
doubledoors,t_spawn,268,0.30078563411896747
doubledoors,ct_spawn,185,0.20763187429854096
doubledoors,long_A,153,0.1717171717171717
doubledoors,ramp,16,0.017957351290684626
doubledoors,outside_tunnels,96,0.10774410774410774
doubledoors,bombsite_B,19,0.02132435465768799
doubledoors,short_A,19,0.02132435465768799
doubledoors,bombsite_A,14,0.015712682379349047
doubledoors,catwalk,10,0.01122334455667789
doubledoors,elevator,7,0.007856341189674524
doubledoors,elbow,1,0.001122334455667789
doubledoors,car,23,0.025813692480359147
doubledoors,ct_mid,15,0.016835016835016835
doubledoors,lower_tunnels,6,0.006734006734006734
doubledoors,outside_long_doors,26,0.029180695847362513
doubledoors,mid,9,0.010101010101010102
doubledoors,upper_tunnels,11,0.012345679012345678
doubledoors,upper_mid,10,0.01122334455667789
doubledoors,suicide,3,0.003367003367003367
bombsite_A,ct_spawn,367,0.4077777777777778
bombsite_A,ct_mid,30,0.03333333333333333
bombsite_A,t_spawn,260,0.28888888888888886
bombsite_A,outside_tunnels,103,0.11444444444444445
bombsite_A,short_A,12,0.013333333333333334
bombsite_A,doubledoors,3,0.0033333333333333335
bombsite_A,elevator,15,0.016666666666666666
bombsite_A,long_A,33,0.03666666666666667
bombsite_A,ramp,45,0.05
bombsite_A,bombsite_B,11,0.012222222222222223
bombsite_A,elbow,11,0.012222222222222223
bombsite_A,car,7,0.0077777777777777776
bombsite_A,lower_tunnels,1,0.0011111111111111111
bombsite_A,upper_tunnels,2,0.0022222222222222222
elevator,ct_mid,29,0.04434250764525994
elevator,ct_spawn,416,0.636085626911315
elevator,bombsite_B,15,0.022935779816513763
elevator,outside_tunnels,25,0.0382262996941896
elevator,t_spawn,66,0.10091743119266056
elevator,short_A,11,0.016819571865443424
elevator,car,25,0.0382262996941896
elevator,ramp,27,0.04128440366972477
elevator,long_A,13,0.019877675840978593
elevator,bombsite_A,15,0.022935779816513763
elevator,elbow,6,0.009174311926605505
elevator,outside_long_doors,1,0.0015290519877675841
elevator,doubledoors,3,0.0045871559633027525
elevator,lower_tunnels,2,0.0030581039755351682
ct_mid,ct_spawn,1067,0.44018151815181517
ct_mid,catwalk,17,0.007013201320132013
ct_mid,outside_tunnels,176,0.07260726072607261
ct_mid,bombsite_B,468,0.19306930693069307
ct_mid,t_spawn,425,0.17533003300330033
ct_mid,long_A,23,0.009488448844884489
ct_mid,bombsite_A,28,0.01155115511551155
ct_mid,car,39,0.01608910891089109
ct_mid,elevator,55,0.02268976897689769
ct_mid,ramp,33,0.013613861386138614
ct_mid,short_A,38,0.015676567656765675
ct_mid,upper_tunnels,11,0.004537953795379538
ct_mid,mid,3,0.0012376237623762376
ct_mid,lower_tunnels,22,0.009075907590759076
ct_mid,outside_long_doors,5,0.0020627062706270625
ct_mid,suicide,1,0.00041254125412541255
ct_mid,upper_mid,3,0.0012376237623762376
ct_mid,doubledoors,3,0.0012376237623762376
ct_mid,elbow,7,0.0028877887788778876
lower_tunnels,ct_spawn,222,0.21850393700787402
